,Title,Company,Experience,Location,Pay,Description
7576,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
7577,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
7578,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
7579,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
7580,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
7581,Senior Business Analyst,Standard Chartered Bank Ltd,2-6 Yrs,Bengaluru,Not disclosed,Computer science Business process remediation Business analysis Access management Information security Network security Application security
7582,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
7583,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
7584,Business System Analyst   Oracle Fusion HCM,Varite,5-6 Yrs,Pune,Not disclosed,Business System Analyst Analyst Payroll HCM Performance management HRIS Techno functional Agile
7585,Business Intelligence Analyst,Franklin Templeton International,2-6 Yrs,Hyderabad,Not disclosed,Data management Process improvement Analytical Workflow VB Macros Information technology Analytics
7586,Business Analyst,Novo Nordisk Centre (India) Pvt Ltd,5-7 Yrs,Bengaluru,Not disclosed,SAP QM Web Technologies sap qa management Release Management Business Analysis Solution Management Web UI Super User
7587,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
7588,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
7589,Business Analyst,Think and Learn Private Limited,2-4 Yrs,Bengaluru(Bhavani Nagar),Not disclosed,primary research secondary research business modeling advanced excel presentation skills business analysis international business market research
7590,Sr IT Business Analyst,Motorola Solutions,5-8 Yrs,Bengaluru(Manayata Tech Park),"8,50,000 - 14,00,000 PA.",Enterprise Architecture Data Quality Cloud Computing Data Analysis agile Data Architecture Tableau JIRA
7591,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
7592,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
7593,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
7594,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
7595,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
7596,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
7597,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
7598,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
7599,Business Analyst - Healthcare or Hospitality Industry,S2 INFOTECH INTERNATIONAL LIMITED,4-5 Yrs,Mumbai(Nariman Point +1),Not disclosed,Hospitality Communication Skills requirement gathering business analysis Healthcare business analyst
7600,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
7601,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
7602,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
7603,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
7604,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
7605,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
7606,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
7607,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
7608,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
7609,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
7610,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
7611,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
7612,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
7613,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
7614,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
7615,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
7616,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
7617,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
7618,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
7619,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
7620,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
7621,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
7622,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
7623,Business System Analyst   Oracle Fusion HCM,Varite,5-6 Yrs,Pune,Not disclosed,Business System Analyst Analyst Payroll HCM Performance management HRIS Techno functional Agile
7624,Business Analyst,Novo Nordisk Centre (India) Pvt Ltd,5-7 Yrs,Bengaluru,Not disclosed,SAP QM Web Technologies sap qa management Release Management Business Analysis Solution Management Web UI Super User
7625,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
7626,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
7627,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
7628,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
7629,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
7630,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
7631,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
7632,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
7633,Job Opportunity For Business Analyst Position-accion Labs Pvt Ltd,Accion labs India Private Limited,8-12 Yrs,Bengaluru,"7,00,000 - 17,00,000 PA.",Product Development Mockups Product Management IT Operations Management User Stories Elicitation Project Delivery Scrum
7634,Business Analyst+healthcare Domain -10-12y-pune-earlyjoiner-persistent,Persistent Systems Limited.,10-12 Yrs,Pune,Not disclosed,Healthcare Domain Medical Device Business Analyst Payer Vertical
7635,Senior - Business Analyst,Principal Global Services Pvt Ltd,7-11 Yrs,Pune,Not disclosed,Data dictionary UML Data modeling Business analysis Analytical Project planning Agile methodology User acceptance testing
7636,Business Analyst - 4,Varite,2-5 Yrs,Bengaluru,Not disclosed,Order management Process design VMware ERP Automation Business transformation Operational excellence Billing
7637,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
7638,Business Analyst - Mumbai,RANDSTAD INDIA PVT LTD,3-8 Yrs,Mumbai,"5,00,000 - 8,00,000 PA.",work from home User test Banking Process Investment Banking Write test scripts Technofunctional UAT Business Analysis
7639,Business Analyst,Teamware Solutions ( A division of Quantum Leap Consulting Private LTD).,2-6 Yrs,"Mumbai Suburbs, Mumbai","4,00,000 - 9,00,000 PA.",Internal Audit Metrics Reporting Excel Powerpoint Business Analyst Process Mapping Finance Operational Risk Management Rcsa
7640,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
7641,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
7642,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
7643,Business System Analyst   Oracle Fusion HCM,Varite,5-6 Yrs,Pune,Not disclosed,Business System Analyst Analyst Payroll HCM Performance management HRIS Techno functional Agile
7644,Business Analyst,Novo Nordisk Centre (India) Pvt Ltd,5-7 Yrs,Bengaluru,Not disclosed,SAP QM Web Technologies sap qa management Release Management Business Analysis Solution Management Web UI Super User
7645,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
7646,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
7647,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
7648,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
7649,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
7650,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
7651,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
7652,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
7653,Job Opportunity For Business Analyst Position-accion Labs Pvt Ltd,Accion labs India Private Limited,8-12 Yrs,Bengaluru,"7,00,000 - 17,00,000 PA.",Product Development Mockups Product Management IT Operations Management User Stories Elicitation Project Delivery Scrum
7654,Business Analyst+healthcare Domain -10-12y-pune-earlyjoiner-persistent,Persistent Systems Limited.,10-12 Yrs,Pune,Not disclosed,Healthcare Domain Medical Device Business Analyst Payer Vertical
7655,Senior - Business Analyst,Principal Global Services Pvt Ltd,7-11 Yrs,Pune,Not disclosed,Data dictionary UML Data modeling Business analysis Analytical Project planning Agile methodology User acceptance testing
7656,Business Analyst (General Insurance),Edelweiss Financial Services Limited.,4-9 Yrs,Mumbai(Vidya Vihar West),"7,00,000 - 12,00,000 PA.",General Insurance Brd Project Documentation Business Process Test Planning UAT Policy Issuance System Integration
7657,Business Analyst - 4,Varite,2-5 Yrs,Bengaluru,Not disclosed,Order management Process design VMware ERP Automation Business transformation Operational excellence Billing
7658,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
7659,Wipro is Hiring For Business Analyst,WIPRO HR SERVICES INDIA PVT LTD,2-4 Yrs,Gurgaon,Not disclosed,Business Analysis
7660,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
7661,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
7662,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
7663,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
7664,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
7665,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
7666,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
7667,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
7668,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
7669,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
7670,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
7671,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
7672,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
7673,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
7674,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
7675,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
7676,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
7677,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
7678,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
7679,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
7680,"Hiring Business Analyst - Software , US Healthcare",Gebbs Healthcare Solutions Pvt. Ltd.,5-10 Yrs,Navi Mumbai,Not disclosed,requirement gathering us healthcare client interfacing business analyst Requirement Analysis
7681,Business Analyst-content,Bold Technology Systems Private Limited,3-5 Yrs,Noida,Not disclosed,Gap Analysis Business Analytics business modeling strategy modeling market analysis Business Analysis
7682,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
7683,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Any Postgraduate, Post Graduation Not Required, Any Graduate, Graduation Not Required",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
7684,Business Analyst,One IT,3-8 Yrs,"Ahmedabad, Surat","3,00,000 - 6,00,000 PA.",business requirement analysis requirement gathering solution design Business Analyst web technologies business solutions business analysis technical specifications
7685,Salesforce Business Analyst,VIZDA SOFTWARE SOLUTIONS PRIVATE LIMITED,2-4 Yrs,Chennai(Aminjikarai),"4,00,000 - 7,00,000 PA.",end user requirement gathering data management workflow business analysis uat dashboards communication skills
7686,Business Analyst (non IT),Varite,5-7 Yrs,Bengaluru,Not disclosed,Computer science business intelligence reporting Data analysis SAP Business Analyst Sales operations Business analytics Analytical
7687,Business Analyst (non IT),Varite,4-6 Yrs,Bengaluru,Not disclosed,Business process VMware Data analysis SAP Business Analyst Sales operations Business analytics Reconciliation
7688,Business Analyst ,WhatsApp Inc.,8-13 Yrs,tura,Not disclosed,Procurement Computer science Automation Operational excellence Sales operations Business analytics Analytical Continuous improvement
7689,Business Analyst/ PMO,THINK ANALYTICS INDIA PRIVATE LIMITED,3-6 Yrs,Mumbai,Not disclosed,PMO Execution Project Management Requirement Gathering Product Analysis Data Analysis Project Planning Analytics
7690,Senior Business Analyst | CES Ltd. - CMMI Level 5 | Chennai,CES Ltd.,5-8 Yrs,Chennai(Navalur),Not disclosed,IT Skills Testing Project Management BPO project management work from home Technical Documentation Agile Methodology
7691,Business Analyst,Xcelpros Technologies Pvt Limited,3-6 Yrs,Bengaluru,"4,00,000 - 8,00,000 PA.",User Acceptance Testing Waterfall Requirement Gathering User Stories Agile FRD UAT Scrum
7692,Urgent Business Analyst Role I AKLAU,Rapid Value IT Services Pvt Ltd Private Limited,4-6 Yrs,Bengaluru(Sector 1 HSR Layout),Not disclosed,elicitation requirement gathering product management enterprise mobility software solutions business analysis validation rules oral communication
7693,Senior Business Analyst (elearning exp is Mandatory),Hurix Systems Private Limited,8-13 Yrs,"Pune, Mumbai",Not disclosed,requirement gathering rfi proposal writing Business Analyst rfis proposals presales rfp
7694,Business Analyst - Nit/iit Candidates Only,Macrohire LLP,0-5 Yrs,Hyderabad,"3,00,000 - 5,00,000 PA.",Excel Sales Data Management Primary Data Analysis MIS Generation Data Collection Dashboards
7695,Associate Product Manager / Business Analyst,milestone internet marketing pvt ltd,7-10 Yrs,"Ahmedabad, Bengaluru",Not disclosed,Computer science Hospitality Coding Javascript Workflow SEM SEO Digital marketing
7696,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
7697,Senior Business Analyst (south Region),PPN Solutions Pvt Ltd.,5-10 Yrs,"Chennai, Bengaluru, Hyderabad",Not disclosed,Senior Business Analyst business analysis
7698,Business Analyst Requirement with Optimize IT Systems,Optimize IT Systems Private Limited,5-10 Yrs,Kolkata,Not disclosed,process documentation business analysis scrum business analyst agile user stories sdlc ba
7699,Business Analyst,Aezion Technologies Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,System Development User Documentation Thinking Skills Quality Inspection Business Analyst Confluence Blended Learning Management Skills
7700,Business Analyst,Acidaes Solutions Pvt. Ltd.,3-7 Yrs,Noida,"3,50,000 - 6,00,000 PA.",Process Flow business analysis client meeting Workflow
7701,Sr. Business Analyst - LIMS,Dr. Reddys Laboratories Ltd.,3-8 Yrs,Hyderabad(Bachupally),"9,00,000 - 19,00,000 PA.",QA LIMS QC Risk Assessment UAT Application Support Template Creation Project Planning
7702,Business Analyst (telecom SME),Vodafone India Services Pvt.Ltd,5-10 Yrs,Pune,Not disclosed,Product Strategy Agile Methodology Business Consulting Project Management Brd Requirement Gathering Techno Functional Feasibility Analysis
7703,Business System Analyst   Oracle Fusion HCM,Varite,5-6 Yrs,Pune,Not disclosed,Business System Analyst Analyst Payroll HCM Performance management HRIS Techno functional Agile
7704,Business Analyst,Novo Nordisk Centre (India) Pvt Ltd,5-7 Yrs,Bengaluru,Not disclosed,SAP QM Web Technologies sap qa management Release Management Business Analysis Solution Management Web UI Super User
7705,Business Analyst - Product Reference Data - Pune,eClerx Services Ltd.,5-10 Yrs,Pune,"5,00,000 - 12,00,000 PA.",Securities reference data Bloomberg Golden Source Reference Data Product reference data Asset control Market reference data Instrument reference data
7706,Senior Business Analyst,Altisource Business Solutions Pvt Ltd,2-5 Yrs,Bengaluru,Not disclosed,Business process Data analysis Business Analyst Project management Analytical Employee engagement Data Processor Executive management
7707,Opening For Business Analyst(blr) at Annalect,Omnicom Media Group India Private Limited,3-5 Yrs,Bengaluru,Not disclosed,Technical Documentation uml product owner vcs agile business intelligence reporting sql
7708,Business Analyst,L A Consultancy,2-5 Yrs,"Chennai, Mumbai, Kochi, Bengaluru",Not disclosed,generate insight and recommend process flow including technical analysis of key Functional problems interpret results operational and business analysis and process modeling.
7709,Business Analyst,Collabera Technologies Private Limited,3-5 Yrs,Vadodara,Not disclosed,Client Communication brd FRD Technical Writing
7710,RPA Business Analyst,Optum Global Solutions (India) Private Limited,4-6 Yrs,"Gurgaon, India",Not disclosed,Rpa Project Management Oracle SQL SCOPE Scrum Master Feasibility Analysis Digital Strategy Visio
7711,Senior Business Analyst,Aptean,4-9 Yrs,Bengaluru,Not disclosed,Product management QA Data management Database design Test planning Senior Business Analyst System Analyst Portfolio planning
7712,Finance Business Analyst | Sales Compensation| Callidus| Bangalore,Varite India Pvt. Ltd.,4-9 Yrs,Bengaluru,Not disclosed,User Acceptance Testing Accounting Banking System Implementation Defect Tracking UAT Digital Transformation Business Administration
7713,Job Opportunity For Business Analyst Position-accion Labs Pvt Ltd,Accion labs India Private Limited,8-12 Yrs,Bengaluru,"7,00,000 - 17,00,000 PA.",Product Development Mockups Product Management IT Operations Management User Stories Elicitation Project Delivery Scrum
7714,Business Analyst+healthcare Domain -10-12y-pune-earlyjoiner-persistent,Persistent Systems Limited.,10-12 Yrs,Pune,Not disclosed,Healthcare Domain Medical Device Business Analyst Payer Vertical
7715,Senior - Business Analyst,Principal Global Services Pvt Ltd,7-11 Yrs,Pune,Not disclosed,Data dictionary UML Data modeling Business analysis Analytical Project planning Agile methodology User acceptance testing
7716,Business Analyst - 4,Varite,2-5 Yrs,Bengaluru,Not disclosed,Order management Process design VMware ERP Automation Business transformation Operational excellence Billing
7717,Manager - IT (Business Analyst),IDBI FEDERAL LIFE INSURANCE COMPANY LIMITED,"Post Graduation Not Required, Any Postgraduate, Graduation Not Required, Any Graduate",Mumbai,Not disclosed,IT Project it business analysis production support project management web application Requirement Gathering mobile applications business analyst
7718,Business Analyst - SQL - Contract,Lobo Staffing Solutions Private Limited,2-3 Yrs,Mumbai,"3,00,000 - 4,50,000 PA.",Business Analysis SQL Testing
